Date (UTC),Open,High,Low,Close,Adj Close,Volume,Dividends
1999-12-31,9.359375,9.765625,9.359375,9.75,7.952406883239746,314800,
2000-01-03,9.5625,9.65625,8.859375,9.2578125,7.550962924957275,1492000,
2000-01-04,9.125,9.25,8.875,8.96875,7.315194129943848,1483600,
2000-01-05,8.8515625,9.0,8.75,8.84375,7.213240623474121,1023200,
2000-01-06,8.765625,8.9375,8.765625,8.78125,7.162261962890625,1326800,
2000-01-07,8.6875,8.875,8.671875,8.8671875,7.232357978820801,836800,
2000-01-10,8.890625,9.34375,8.875,9.3046875,7.589195728302002,1814800,
2000-01-11,9.2578125,9.296875,8.96875,8.96875,7.315194129943848,473600,
2000-01-12,8.9375,9.12109375,8.90625,9.078125,7.404404163360596,501600,
2000-01-13,9.09375,9.75,9.09375,9.7421875,7.946033000946045,1951200,
2000-01-14,9.734375,10.59375,9.71875,10.5625,8.615111351013184,3344800,
2000-01-18,10.5,10.921875,9.84375,10.6796875,8.710688591003418,1861600,
2000-01-19,10.671875,10.6875,10.21875,10.2421875,8.353850364685059,1363600,
2000-01-20,10.421875,10.875,10.375,10.546875,8.602363586425781,3202400,
2000-01-21,10.5625,11.0,10.546875,10.90625,8.895477294921875,1842800,
2000-01-24,10.875,11.25,10.59375,10.703125,8.729804992675781,848400,
2000-01-25,10.75,10.875,10.4375,10.734375,8.755290985107422,1158000,
2000-01-26,10.734375,11.0625,9.9375,10.484375,8.551385879516602,850400,
2000-01-27,10.5,10.78125,10.5,10.6875,8.717060089111328,3122400,
2000-01-28,10.59375,10.71875,10.4375,10.59375,8.640593528747559,1714000,
2000-01-31,10.53125,10.53125,9.75,10.1875,8.309244155883789,2026800,
2000-02-01,10.109375,10.734375,10.09375,10.734375,8.755290985107422,2136000,
2000-02-02,10.6875,11.03125,10.625,11.03125,8.997435569763184,2758800,
2000-02-03,11.03125,11.28125,10.984375,11.140625,9.086645126342773,1094800,
2000-02-04,11.109375,11.203125,11.0,11.046875,9.010174751281738,496000,
2000-02-07,11.046875,11.078125,10.78125,10.9296875,8.91459846496582,907600,
2000-02-08,10.90625,11.03125,10.8125,10.984375,8.95920181274414,967600,
2000-02-09,10.984375,11.5,10.78125,10.890625,8.882739067077637,1538400,
2000-02-10,11.0625,11.4375,10.9375,11.125,9.07390022277832,415200,
2000-02-11,11.078125,11.296875,10.65625,10.96875,8.946457862854004,464800,
2000-02-14,10.96875,11.03125,10.65625,10.6875,8.717060089111328,518400,
2000-02-15,10.78125,10.84375,10.53125,10.65625,8.691572189331055,903600,
2000-02-16,10.6875,11.25,10.6875,11.03125,8.997435569763184,486800,
2000-02-17,11.125,11.5625,11.09375,11.515625,9.392505645751953,1224800,
2000-02-18,11.46875,11.46875,10.75,10.796875,8.8062744140625,707200,
2000-02-22,10.75,10.875,10.09375,10.859375,8.857247352600098,712400,
2000-02-23,10.875,11.5625,10.71875,11.453125,9.341530799865723,1282000,
2000-02-24,11.53125,11.75,11.390625,11.453125,9.341530799865723,1337600,
2000-02-25,11.375,11.90625,11.234375,11.234375,9.163107872009277,818000,
2000-02-28,11.25,11.4375,10.6875,11.015625,8.98469066619873,950400,
2000-02-29,11.0,11.03125,10.9375,10.984375,8.95920181274414,2071200,
2000-03-01,10.984375,11.40625,10.859375,11.3359375,9.245946884155273,2719200,
2000-03-02,11.40625,11.8125,11.25,11.765625,9.596410751342773,2976800,
2000-03-03,11.90625,12.1875,11.78125,12.1328125,9.895901679992676,1329200,
2000-03-06,12.0625,12.5,12.0625,12.3125,10.042462348937988,1026800,
2000-03-07,12.328125,12.59375,12.09375,12.21875,9.965996742248535,1809600,
2000-03-08,12.25,12.5,12.125,12.3125,10.042462348937988,983200,
2000-03-09,12.28125,14.125,12.21875,14.0,11.418837547302246,2016400,
2000-03-10,14.03125,14.0625,13.4375,13.640625,11.125724792480469,1081600,
2000-03-13,13.40625,13.9375,13.0,13.5,11.01102352142334,629200,
2000-03-14,13.6875,14.0,12.828125,12.828125,10.463016510009766,884000,
2000-03-15,13.046875,13.09375,11.625,11.96875,9.762092590332031,1238400,
2000-03-16,12.03125,12.1015625,11.640625,11.9375,9.736602783203125,2187200,
2000-03-17,11.71875,12.5,11.59375,12.484375,10.182649612426758,834400,
2000-03-20,12.5,12.5625,11.96875,12.015625,9.800322532653809,550800,
2000-03-21,12.15625,12.15625,11.609375,12.0625,9.83855152130127,449600,
2000-03-22,12.09375,12.296875,11.9375,12.25,9.99148178100586,1684000,
2000-03-23,15.46875,18.28125,14.1875,14.57421875,11.887189865112305,9969200,
2000-03-24,15.375,15.5,14.34375,14.5,11.826656341552734,2471600,
2000-03-27,14.578125,15.09375,14.5625,14.625,11.928609848022461,1462800,
2000-03-28,14.6875,14.84375,13.875,14.21875,11.597259521484375,1122800,
2000-03-29,14.34375,14.484375,13.5625,13.8125,11.265905380249023,778400,
