Date (UTC),Open,High,Low,Close,Adj Close,Volume,Dividends
1999-12-31,44.375,45.9375,43.375,44.5,42.599998474121094,114300,
2000-01-03,46.625,47.0,40.75,41.125,39.369102478027344,558900,
2000-01-04,40.125,40.25,37.0,38.375,36.73651123046875,416800,
2000-01-05,38.875,40.3125,37.0,40.3125,38.59129333496094,472800,
2000-01-06,40.875,46.0,39.625,41.5,39.72807693481445,2333400,
2000-01-07,42.75,43.125,39.3125,40.875,39.12976837158203,341800,
2000-01-10,42.75,43.375,41.25,42.5,40.68539810180664,335100,
2000-01-11,42.625,42.875,40.875,40.875,39.12976837158203,286300,
2000-01-12,41.25,42.0,40.5,40.75,39.01009750366211,282700,
2000-01-13,41.15625,41.5625,39.5625,40.25,38.531455993652344,281400,
2000-01-14,40.21875,42.125,39.625,42.0,40.20673370361328,186700,
2000-01-18,42.25,44.9375,42.0,44.0,42.121341705322266,472900,
2000-01-19,44.125,46.875,43.5,46.75,44.753929138183594,674100,
2000-01-20,47.9375,50.0,47.75,48.0625,46.01038360595703,1174200,
2000-01-21,48.0625,51.0,46.125,48.8125,46.72836685180664,488900,
2000-01-24,49.75,51.0,48.6875,48.9375,46.848026275634766,986100,
2000-01-25,49.125,50.5625,46.375,47.625,45.59156799316406,589400,
2000-01-26,47.5,48.0,47.25,47.25,45.23257064819336,447200,
2000-01-27,47.3125,47.625,44.625,45.0,43.078636169433594,495700,
2000-01-28,44.0,45.625,42.1875,44.0,42.121341705322266,553600,
2000-01-31,43.75,43.8125,38.125,41.375,39.608421325683594,628000,
2000-02-01,52.25,52.25,43.25,45.0,43.078636169433594,1731800,
2000-02-02,46.625,47.0,44.875,45.875,43.916282653808594,478500,
2000-02-03,47.375,47.75,45.75,47.25,45.23257064819336,472200,
2000-02-04,47.3125,49.5,47.0,48.75,46.66852569580078,303200,
2000-02-07,50.0,50.5,48.0,49.75,47.62582778930664,164900,
2000-02-08,49.8125,54.125,48.375,54.0625,51.75420379638672,616300,
2000-02-09,54.75,56.0,51.0,53.0,50.737064361572266,781400,
2000-02-10,53.6875,55.0,51.875,52.0,49.77976608276367,519700,
2000-02-11,52.0,53.0625,51.6875,52.125,49.8994255065918,283900,
2000-02-14,52.125,52.5,48.0,49.375,47.266849517822266,205500,
2000-02-15,49.0625,50.0,48.0,49.0,46.907859802246094,272800,
2000-02-16,49.0,57.0,48.5,56.8125,54.38678741455078,1102100,
2000-02-17,57.5,66.75,57.4375,66.5,63.660640716552734,1367800,
2000-02-18,66.375,68.0,57.25,58.875,56.3612174987793,803500,
2000-02-22,59.125,63.375,55.5,55.75,53.36965560913086,610100,
2000-02-23,56.75,61.75,56.0,59.25,56.72021484375,398300,
